"index,Date,High,Low,Open,Close,Volume,Adj Close,Stock"
"0,2015-01-01 00:00:00,5.1875,4.769999980926514,5.03249979019165,4.800000190734863,414035200.0,4.615102767944336,Nvidia"
"1,2015-02-01 00:00:00,5.625,4.735000133514404,4.829999923706055,5.514999866485596,419354000.0,5.302560329437256,Nvidia"
"2,2015-03-01 00:00:00,5.902500152587891,5.114999771118164,5.5,5.232500076293945,731044400.0,5.050313472747803,Nvidia"
"3,2015-04-01 00:00:00,5.710000038146973,5.162499904632568,5.252500057220459,5.550000190734863,567365200.0,5.356759548187256,Nvidia"
"4,2015-05-01 00:00:00,5.71999979019165,5.09499979019165,5.59499979019165,5.53249979019165,708133600.0,5.33986759185791,Nvidia"
"5,2015-06-01 00:00:00,5.650000095367432,4.992499828338623,5.567500114440918,5.027500152587891,733383200.0,4.874913692474365,Nvidia"
"6,2015-07-01 00:00:00,5.224999904632568,4.772500038146973,5.152500152587891,4.987500190734863,548040400.0,4.83612585067749,Nvidia"
"7,2015-08-01 00:00:00,5.987500190734863,4.962500095367432,5.027500152587891,5.619999885559082,946949200.0,5.449429035186768,Nvidia"
"8,2015-09-01 00:00:00,6.170000076293945,5.349999904632568,5.457499980926514,6.162499904632568,648020800.0,6.000605583190918,Nvidia"
"9,2015-10-01 00:00:00,7.195000171661377,5.867499828338623,6.162499904632568,7.09250020980835,805231600.0,6.906175136566162,Nvidia"
"10,2015-11-01 00:00:00,7.985000133514404,6.90749979019165,7.114999771118164,7.929999828338623,734481600.0,7.721672058105469,Nvidia"
"11,2015-12-01 00:00:00,8.484999656677246,7.992499828338623,8.0,8.239999771118164,562717200.0,8.053994178771973,Nvidia"
"12,2016-01-01 00:00:00,8.359999656677246,6.612500190734863,8.072500228881836,7.322500228881836,813898000.0,7.157207012176514,Nvidia"
"13,2016-02-01 00:00:00,8.029999732971191,6.1875,7.315000057220459,7.840000152587891,900004800.0,7.663024425506592,Nvidia"
"14,2016-03-01 00:00:00,9.0625,7.760000228881836,7.860000133514404,8.907500267028809,657790400.0,8.73814868927002,Nvidia"
"15,2016-04-01 00:00:00,9.364999771118164,8.657500267028809,8.852499961853027,8.882499694824219,673425200.0,8.713622093200684,Nvidia"
"16,2016-05-01 00:00:00,11.704999923706055,8.600000381469727,8.967499732971191,11.680000305175781,1036783600.0,11.457934379577637,Nvidia"
"17,2016-06-01 00:00:00,12.135000228881836,11.142499923706055,11.625,11.7524995803833,819790000.0,11.55899715423584,Nvidia"
"18,2016-07-01 00:00:00,14.3125,11.507499694824219,11.6875,14.274999618530273,721005200.0,14.039962768554688,Nvidia"
"19,2016-08-01 00:00:00,15.875,13.875,14.335000038146973,15.335000038146973,930512000.0,15.082512855529785,Nvidia"
"20,2016-09-01 00:00:00,17.297500610351562,14.329999923706055,15.34749984741211,17.1299991607666,866525200.0,16.879003524780273,Nvidia"
"21,2016-10-01 00:00:00,18.237499237060547,15.925000190734863,17.1299991607666,17.790000915527344,655156800.0,17.529338836669922,Nvidia"
"22,2016-11-01 00:00:00,23.8125,16.645000457763672,17.854999542236328,23.049999237060547,1276746400.0,22.712263107299805,Nvidia"
"23,2016-12-01 00:00:00,29.982500076293945,21.1924991607666,23.024999618530273,26.684999465942383,1808222800.0,26.333370208740234,Nvidia"
"24,2017-01-01 00:00:00,27.97249984741211,24.77750015258789,26.100000381469727,27.295000076293945,1339684000.0,26.935331344604492,Nvidia"
"25,2017-02-01 00:00:00,30.229999542236328,23.924999237060547,27.645000457763672,25.3700008392334,1420678800.0,25.035688400268555,Nvidia"
"26,2017-03-01 00:00:00,27.5,23.792499542236328,25.947500228881836,27.232500076293945,1428896000.0,26.90756607055664,Nvidia"
"27,2017-04-01 00:00:00,27.412500381469727,23.872499465942383,27.237499237060547,26.075000762939453,957257200.0,25.76388168334961,Nvidia"
"28,2017-05-01 00:00:00,36.75,25.577499389648438,26.184999465942383,36.087501525878906,1920944400.0,35.65690994262695,Nvidia"
"29,2017-06-01 00:00:00,42.125,35.52750015258789,36.247501373291016,36.13999938964844,2344552000.0,35.74638748168945,Nvidia"
"30,2017-07-01 00:00:00,42.48249816894531,34.64500045776367,36.26250076293945,40.627498626708984,1549101600.0,40.185020446777344,Nvidia"
"31,2017-08-01 00:00:00,43.63999938964844,38.227500915527344,40.532501220703125,42.36000061035156,1472821600.0,41.898651123046875,Nvidia"
